source,hash,etag,last_modified,last_checked,failed_attempts,domains,file_size,filename,last_updated,serial_counter
https://raw.githubusercontent.com/mitchellkrogza/Phishing.Database/master/phishing-domains-ACTIVE.txt,23d411521f907af1edd01482d18acaaec882e4a0be371b4effe07cbaf344f1c4,"""cd19e185056b38be71fe3420aa07d72337b08b218330727e78fbda88f2e9f0f2""",2026-08-01T11:14:50Z,2026-08-01T11:14:49Z,0,772068,28131.0703125,phishing_mitchellkrogza.rpz,2026-08-01T11:14:55Z,888
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters.txt,b51747614ad3cbe8c3b5afbaccbf615a2b36aebb0daeeb5f6b61ae8eea86d893,"""c6e9fb7d54a86a4afed8b34fea2fd74a5aa8b775791d9072bb133d48f2fd89ac""",2026-08-01T03:40:31Z,2026-08-01T03:40:31Z,0,3408,237.3798828125,ads_ublock_filters.rpz,2026-08-01T03:40:31Z,174
https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,ac0360be31da0ddac23a407af6216008d656390d3bbdefac48db292aeec7216d,"""42e2e23e3ceb810f0062db0426118147""","Thu, 04 Jun 2026 19:00:01 GMT",2026-06-04T20:02:30Z,0,5400,133.0302734375,simple_ad.txt.rpz,2026-06-04T20:02:31Z,2
https://small.oisd.nl,64308d23083ef8b1a74a6b76411a817a4bcf0a2df62390d9d0bb6d58c146c34d,"""6a6dc632-12f3ee""","Sat, 01 Aug 2026 10:10:58 GMT",2026-08-01T11:14:43Z,0,111828,3081.4091796875,misc_oisd_small_list.rpz,2026-08-01T11:14:46Z,3698
https://urlhaus.abuse.ch/downloads/hostfile/,0f8e7d3d42bfed5d1c8ab1e6a27645139ddbe94d2638230525dbb48e86bfc76d,"""2b63-657fa58d3ee72""","Sat, 01 Aug 2026 11:10:03 GMT",2026-08-01T11:14:56Z,0,738,20.314453125,phishing_urlhaus.rpz,2026-08-01T11:14:57Z,7145
https://v.firebog.net/hosts/AdguardDNS.txt,06d4e98b476f40219b0e2a68ff1c271d877a3dcf109bc666b7ce9d61ede9d8b1,"W/""32bd1a-657e89c468f2f-gzip""","Fri, 31 Jul 2026 14:00:26 GMT",2026-07-31T14:11:12Z,0,321444,9319.7265625,ads_adguarddns.rpz,2026-07-31T14:11:14Z,177
https://v.firebog.net/hosts/Admiral.txt,4e543f633955aef4ee725e543a085c455839aa7475cca715e955602da08051a9,"W/""702a-657e89c655e1d-gzip""","Fri, 31 Jul 2026 14:00:28 GMT",2026-07-31T14:11:15Z,0,3290,85.017578125,ads_admiral.rpz,2026-07-31T14:11:15Z,72
https://v.firebog.net/hosts/Easylist.txt,5be606555bcc17ba816674cd9214a22f714905551123308dc5a56922de9b9a60,"W/""f24ba-657e89b599d54-gzip""","Fri, 31 Jul 2026 14:00:10 GMT",2026-07-31T14:11:15Z,0,102066,2835.44921875,ads_easylist.rpz,2026-07-31T14:11:16Z,193
https://v.firebog.net/hosts/Easyprivacy.txt,1274e252813660f590bddd35ca7bb2d3bd1ae149911ed8da01dfb2d2010c272c,"W/""e4c3a-657e89c6dd623-gzip""","Fri, 31 Jul 2026 14:00:28 GMT",2026-07-31T14:11:23Z,0,85388,2580.61328125,malware_easyprivacy.rpz,2026-07-31T14:11:24Z,275
https://v.firebog.net/hosts/Prigent-Ads.txt,99970af61d8f0edcf8050c89e0f9f9d3ddacdae9eec3de8235d641417057c8dd,"W/""113ac-657e89c8a4f65-gzip""","Fri, 31 Jul 2026 14:00:30 GMT",2026-07-31T14:11:16Z,0,8540,213.208984375,ads_prigent_ads.rpz,2026-07-31T14:11:17Z,177
https://v.firebog.net/hosts/Prigent-Crypto.txt,aba1cd5318effa6a2b29d4d7695f8314f4bd348e5aee8ffaa59c2553b75ee1ba,"W/""31cd2-657e89be70d52-gzip""","Fri, 31 Jul 2026 14:00:19 GMT",2026-07-31T14:11:24Z,0,22982,600.71484375,malware_prigent_crypto.rpz,2026-07-31T14:11:25Z,177
https://v.firebog.net/hosts/RPiList-Malware.txt,deafc8f399c9cee140c5036533b8e5c0be1ec7d02f33ec638ddb963e557f97f3,"W/""1828429-657e89bb4643a-gzip""","Fri, 31 Jul 2026 14:00:16 GMT",2026-07-31T14:11:25Z,0,2105506,61811.341796875,malware_rpilist.rpz,2026-07-31T14:11:38Z,122
https://v.firebog.net/hosts/static/w3kbl.txt,a7d73a006966201bf17d41d6d377350ae4f8512accd260d307e85482295c64f5,"W/""20d9-6138277bfd200-gzip""","Wed, 13 Mar 2024 03:35:36 GMT",2026-02-09T16:04:48Z,1,700,21.61328125,malware_w3kbl.rpz,2025-11-18T15:17:11Z,2
